Wall time,Step,Value,Smoothed
1579541590.18379,9438877.00000,74.12466,6.35199
1579541590.19106,9437247.00000,66.75671,6.43945
1579541590.20825,9437819.00000,-143.23433,6.41428
1579541590.21319,9437459.00000,-49.45613,6.52306
1579541650.18990,9504554.00000,81.35323,6.46943
1579541650.22191,9504359.00000,-17.03871,6.29992
1579541710.21393,9568928.00000,-13.93410,6.40445
1579541830.07594,9700178.00000,65.34945,6.51424
1579541830.07610,9700229.00000,72.88166,6.61601
1579541830.08542,9700700.00000,-79.48216,6.71327
1579541890.39905,9765358.00000,72.23842,6.81499
1579541890.40236,9765297.00000,-40.22944,6.92205
1579541890.40432,9764908.00000,-16.22971,6.91407
1579541890.40460,9765361.00000,-52.49586,6.77126
1579541950.39224,9832331.00000,-47.68243,6.72611
1579542010.64837,9896728.00000,-44.51362,6.67711
1579542070.95736,9963302.00000,80.43813,6.65271
1579542070.96241,9962866.00000,79.66737,6.58663
1579542070.96804,9962566.00000,81.29653,6.69084
1579542131.38917,10028588.00000,81.82515,6.79987
1579542192.19535,10093296.00000,86.11665,6.90425
1579542192.20762,10092913.00000,-101.34104,7.00990
1579542192.21252,10093183.00000,26.58069,7.11464
1579542312.77040,10225030.00000,56.80292,7.21156
1579542372.55744,10289449.00000,80.29008,7.30874
1579542372.56216,10289342.00000,79.62179,7.41099
1579542432.50413,10355910.00000,-20.02915,7.49815
1579542432.51485,10356284.00000,81.62386,7.44778
1579542432.52955,10355112.00000,-49.04105,7.55696
1579542553.33549,10487678.00000,84.35591,7.66163
1579542553.34510,10486628.00000,60.67006,7.63775
1579542613.23612,10553049.00000,79.70113,7.74316
1579542613.24486,10552291.00000,-9.82947,7.81760
1579542673.60913,10618705.00000,-54.41549,7.77760
1579542673.63109,10617913.00000,52.95792,7.72889
1579542733.96447,10682620.00000,-64.84811,7.67845
1579542794.41372,10749788.00000,-21.88642,7.65370
1579542794.43943,10748507.00000,83.01401,7.75516
1579542794.45568,10747995.00000,-14.06128,7.69696
1579542854.95457,10814832.00000,-16.60018,6.84802
1579542854.97696,10813521.00000,85.23983,6.80330
1579542915.50378,10880470.00000,-58.49406,6.87731
1579542976.13860,10944694.00000,-33.17514,6.98168
1579542976.16102,10946114.00000,84.76310,7.08534
1579542976.19087,10945383.00000,75.46224,7.19074
1579543036.29759,11011908.00000,81.76227,7.28684
1579543036.31243,11010847.00000,-85.40026,7.35629
1579543036.32695,11010060.00000,81.46864,7.46075
1579543097.05732,11077507.00000,-57.68608,7.45262
1579543097.06113,11076137.00000,-52.78137,7.55195
1579543157.81221,11142600.00000,80.03868,7.20347
1579543218.13785,11207976.00000,-75.69703,7.00254
1579543218.14600,11207130.00000,-251.38808,7.10563
1579543460.05285,11469855.00000,-96.74136,7.05854
1579543460.06543,11469684.00000,83.11263,7.16657
1579543581.24339,11600019.00000,82.24906,7.13596
1579543581.28151,11600386.00000,-46.26135,7.23757
1579543641.37563,11666876.00000,-73.97643,7.19137
1579543641.37970,11665443.00000,70.03495,7.27133
1579543641.39960,11665992.00000,79.57902,7.32779
1579543641.40357,11666513.00000,-432.77188,7.42164
1579543701.72497,11731628.00000,-139.42654,7.27074
1579543701.72984,11731777.00000,-46.71016,7.37157
1579543762.17824,11797437.00000,81.51498,7.44315
1579543762.18842,11797342.00000,85.21623,7.55230
1579543883.28456,11928928.00000,82.46693,7.66198
1579543883.32444,11928710.00000,-8.95442,7.64368
1579543943.67637,11993842.00000,-344.51807,7.73962
1579544004.35862,12059612.00000,-26.75685,7.83373
1579544004.37925,12059326.00000,82.19014,7.76997
1579544064.86416,12124977.00000,-50.37360,7.87396
1579544064.86689,12125989.00000,-54.54766,7.97977
1579544125.50918,12190873.00000,68.55260,8.08724
1579544186.12249,12256445.00000,-18.55504,8.08433
1579544186.13041,12256404.00000,-12.88027,8.18498
1579544186.13126,12255573.00000,66.35073,8.28583
1579544186.16523,12257234.00000,-15.88501,8.24480
1579544247.20845,12322291.00000,-54.60265,8.35067
1579544247.22278,12321068.00000,-18.20872,8.33524
1579544247.23319,12321364.00000,85.53725,8.43805
1579544367.87421,12451995.00000,85.16516,8.12975
1579544427.82822,12517499.00000,80.23801,8.23053
1579544427.83652,12517879.00000,-323.43835,8.32803
1579544427.84492,12518124.00000,-89.80325,8.42516
1579544427.85105,12518856.00000,43.95045,8.37657
1579544427.87126,12517822.00000,-23.18475,8.32215
1579544427.87591,12517529.00000,0.39321,8.37573
1579544488.02551,12583240.00000,-362.68872,8.31603
1579544488.03998,12583082.00000,87.39027,8.25880
1579544548.56810,12650214.00000,-45.13581,8.36259
1579544548.57578,12649606.00000,-168.07819,8.24879
1579544548.61112,12648527.00000,84.23962,8.12540
1579544669.19648,12780515.00000,64.71320,8.03790
1579544669.20347,12780859.00000,-109.02158,7.94957
1579544669.22531,12779960.00000,64.26373,7.71487
